user_score;publisher;title;genre;score;release
6.3;;A City Sleeps;;61;Oct 16, 2014
;;A Date in the Park;;;Feb 14, 2015
;;A Day In The Woods;;;Oct 28, 2011
;;A Divided Light;;;Apr 27, 2015
;;A Druid's Duel;;70;Feb 25, 2015
;;A Fairy Tale;;;Mar 12, 2009
7.0;1C;A Farewell To Dragons;Role-Playing,ActionRPG;;Nov 11, 2009
8.1;;A Fistful of Gun;;60;Sep 23, 2015
;AnyRiver Entertainment;A Fork in the Tale;Adventure,General,General;;Feb 28, 1997
6.6;Paradox Interactive;A Game of Dwarves;Strategy,General;60;Oct 23, 2012
;;A Game of Dwarves: Ale Pack;;;Dec 6, 2012
;;A Game of Dwarves: Star Dwarves;;;Dec 6, 2012
4.1;;A Game of Thrones: Genesis;;53;Sep 28, 2011
5.9;;A Golden Wake;;68;Oct 9, 2014
;;A Good Snowman Is Hard To Build;;;Feb 25, 2015
;;A Gypsy's Tale: The Tower of Secrets;;;Jun 24, 2010
;;A Hero's Quest;;;May 9, 2015
;Cardboard Computer;A House in California;Miscellaneous,General;;Dec 1, 2010
7.5;NinjaBee;A Kingdom for Keflings;Strategy,Breeding/Constructing,Breeding/Constructing;;Mar 30, 2010
;;A Kiss for the Petals - Remembering How We Met;;;Sep 25, 2015
;;A Mass of Dead;;;Jul 15, 2015
;;A Nation of Wind;;;Aug 6, 2012
6.5;;A New Beginning - Final Cut;;72;Dec 11, 2012
;;A Night in the Woods;;;Aug 8, 2014
;;A Pixel Escape;;;Jan 21, 2013
;;A Pixel Story;;74;Mar 30, 2015
;;A Princess' Tale;;;Apr 29, 2012
7.4;Got Game Entertainment;A Quiet Weekend in Capri;Adventure,Modern,Third-Person,Modern;63;Mar 17, 2004
;;A Sirius Game;;;Jan 17, 2012
7.5;;A Story About My Uncle;;73;May 28, 2014
;;A Stranger Comes Calling;;;Aug 28, 2015
;;A Stroke of Fate: Operation Bunker;;;Aug 24, 2015
5.2;Akella;A Stroke of Fate: Operation Valkyrie;Adventure,General;58;Oct 28, 2011
8.3;eGenesis;A Tale in the Desert;Role-Playing,MassivelyMultiplayerOnline,Fantasy;79;Feb 15, 2003
;;A Tale in the Desert II;;;Sep 3, 2004
;;A Tale in the Desert III;;;May 27, 2006
;;A Tale of 2 Towers;;;Jun 20, 2015
;;A Tale of Two Kingdoms;;;Jul 15, 2007
6.8;;A Valley Without Wind;;54;Apr 24, 2012
7.2;;A Valley Without Wind 2;;68;Feb 18, 2013
8.5;GamersGate, Dreamcatcher;A Vampyre Story;Adventure,General,General,Point-and-Click;75;Dec 2, 2008
6.5;;A Virus Named TOM;;65;Aug 1, 2012
5.7;;A Walk in the Dark;;67;Dec 12, 2012
;;A Wise Use of Time;;;Sep 4, 2015
7.2;;A Wizard's Lizard;;;Jun 16, 2014
;;A Wolf in Autumn;;;Oct 27, 2015
;NinjaBee;A World of Keflings;Strategy,Breeding/Constructing,Breeding/Constructing;;Mar 13, 2013
;Activision;A-10 Cuba!;Simulation,Flight,ModernJet,ModernJet;;Nov 30, 1996
;;A-10A: DCS Flaming Cliffs;;;Aug 16, 2013
;;A-Men;;;Jan 24, 2014
;;A-Men 2;;;Jun 24, 2015
;;A-Train 9;;;May 23, 2014
;;A-Train 9 V3.0: Railway Simulator;;;Oct 10, 2014
;;A-Train 9 V4.0 : Japan Rail Simulator;;;Oct 21, 2015
;;A.I. Invasion;;;Aug 18, 2015
;;A.I.M. 2: Clan Wars;;;May 22, 2014
;;A.I.M. Racing;;;Jan 22, 2010
;;A.R.C.S;;;Jun 18, 2012
6.3;;A.R.E.S. Extinction Agenda;;68;Dec 14, 2010
;;A.R.E.S. Extinction Agenda EX;;;Oct 3, 2014
;;A.R.E.S.: Berzerker Suit;;;Jul 22, 2011
;;A.Typical RPG;;;Mar 30, 2011
;;A.V.;;;Feb 13, 2015
7.2;;AaaaaAAaaaAAAaaAAAAaAAAAA!!! - A Reckless Disregard for Gravity;;81;Sep 3, 2009
;;AaaaaAAaaaAAAaaAAAAaAAAAA!!! - Brutal Concussion;;;Jul 22, 2011
6.9;;AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome;;;Nov 23, 2011
7.8;;Aarklash: Legacy;;72;Sep 12, 2013
;Mindscape Inc.;Aaron vs. Ruth;Sports,Traditional,Baseball,Sim,Sim;;Jun 30, 1997
2.7;;Aaru's Awakening;;59;Feb 23, 2015
;;Ababa Boom;;;Oct 20, 2014
